0,1,"Stat: AC vs. Damage Type Modifier [0]","AC Modifier","Type","Applies the modifier value specified by the 'AC Modifier' field to the category specified by the 'Type' field.

Known values for 'Type' are:
0   Generic
1   Armor
2   Deflection
3   Shield
4   Crushing
5   Piercing
6   Slashing
7   Missile"
1,2,"Stat: Attacks Per Round Modifier [1]","Key Modifier","Type","Alters a characters Attacks per Round, by changing the Key by the modifier value specified by the 'Key Value' field, in the style specified by 'Type' field.

Key     Attacks Per Round
0        0
1        1
2        2
3        3
4        4
5        5
6        0.5
7        1.5
8        2.5
9        3.5
10      4.5

Known values for 'Type' are:
0   Cumulative Modifier -> Key = Key + 'Key Modifier' value
1   Flat Value Modifier -> Key = 'Key Modifier' value
2   Percentage Modifier -> Key = (Key * 'Key Modifier' value) / 100
3   Cumulative Modifier -> Same as 0

Note: When this opcode is stacked, the values of the Key Modifier are stacked, not the number of attacks."
2,2,"Cure: Sleep [2]","Irrelevant","Irrelevant","Removes the state_sleeping flag from the targeted creature(s).
This effect ignores durations attributed to it.

N.B. Does not remove the state_helpless flag."
3,1,"State: Berserking [3]","Irrelevant","Type","Applies the berserk effect to the targeted creature(s), as specifed by the 'Type' field.
Target will uncontrollably attack enemies if any are in view, and will occasionally attack neutral creatures.

Known values for 'Type' are:
0   Default
1   Always Active
2   Blood Rage"
4,2,"Cure: Berserking [4]","Irrelevant","Irrelevant","Removes the state_beserk flag from the targeted creature(s).
This effect ignores durations attributed to it.

Both parameters should be 0 (zero)."
5,4,"Charm: Charm Specific Creature [5]","General Type","Undefined","Charms the targeted creature(s), if the target is matched by the value in the 'General Type' field. Values for 'General Type' are from General.ids."
6,1,"Stat: Charisma Modifier [6]","Statistic Modifier","Type","Applies the modifier value specified by the 'Statistic Modifier' field in the style specified by the 'Type' field.

Known values for 'Type' are:
0   Cumulative Modifier -> Charisma = Charisma + 'Statistic Modifier' value
1   Flat Value Modifier -> Charisma = 'Statistic Modifier' value
2   Percentage Modifier -> Charisma = (Charisma * 'Statistic Modifier' value) / 100

'Statistic Modifier' can be positive or negative.

With a Timing Modes of Permanent or Delayed, if 'Type' is 0 and 'Statistic Modifier' is positive, the statistic will alter and remain shown in white text, and a message 'Charisma raised permanently' will be shown.
With a Timing Modes of Permanent or Delayed, if 'Type' is 1 or 2, or 'Statistic Modifier' is negative, the statistic will alter and remain shown in white text, though no message is shown.
With all other Timing Modes, the statistic will alter and be shown in red text."
7,1,"colour: Set Character colours by Palette [7]","Gradient Number","Location","Alters the colour of the area specified by the 'Location' field, to the colour gradient specified by the 'Gradient Number' field.

Known values for 'Location' are:
00   Belt Buckle (on armour) or amulets (on robes)
01   Minor colour
02   Major colour
03   Skin colour
04   Strap colour (on armour) or minor trimming (on robes - the centre strip down a robe and the hem on some robes)
05   Armor colour (and major trimming on robe - cross trim and cape trim on  robe of archmagi)
06   Hair colour
16   Quillons or Crossguard
20   Grip (usually not visible as it's in the characters hand)
21   Blade or major portion of weapon
32   Shield hub
34   Shield panelling
37   Shield rim
48   Helm ornamentation - i.e. wings
49   Helm ornamentation - i.e. feathers/horsehair
50   Helm ornamentation - i.e. feathers/horsehair
52   Unknown but listed in helm01
53   Helm - the main covering
255  Whole Body"
8,3,"colour: Change by RGB [8]","RGB colour","Location","Alters the colour of the area specified by the 'Location' field, to the colour specified by the 'RGB colour' field.

The 'RGB Colour' field is handled as follows:
Second byte = Red (0-255)
Third byte     = Green (0-255)
Fourth byte   = Blue (0-255)

Known values for 'Location' are:
00   Belt Buckle (on armour) or amulets (on robes) 
01   Minor colour
02   Major colour
03   Skin colour
04   Strap colour (on armour) or minor trimming (on robes - the centre strip down a robe and the hem on some robes)
05   Armor colour (and major trimming on robe - cross trim and cape trim on  robe of archmagi)
06   Hair colour
16   Quillons or Crossguard
20   Grip (usually not visible as it's in the characters hand)
21   Blade or major portion of weapon
32   Shield hub
34   Shield panelling
37   Shield rim
48   Helm ornamentation - i.e. wings
49   Helm ornamentation - i.e. feathers/horsehair
50   Helm ornamentation - i.e. feathers/horsehair
52   Unknown but listed in helm01
53   Helm - the main covering
255  Whole Body"
9,2,"colour: Glow Pulse [9]","RGB colour","Location and Speed","Pulses the area specified by the 'Location and Speed' field, at the rate specified by the 'Location and Speed' field, with the colour specified by the 'RGB colour' field.

The 'RGB Colour' field is handled as follows:
Second byte = Red (0-255)
Third byte     = Green (0-255)
Fourth byte   = Blue (0-255)

The 'Location' field is handled as follows:
First byte = Location
Third byte  = Speed (0-255)

A speed of 0 does not pulsate. A speed of 1 is fastest, and a speed of 255 is slowest.

Known values for 'Location' are:
00   Belt Buckle (on armour) or amulets (on robes) 
01   Minor colour
02   Major colour
03   Skin colour
04   Strap colour (on armour) or minor trimming (on robes - the centre strip down a robe and the hem on some robes)
05   Armor colour (and major trimming on robe - cross trim and cape trim on  robe of archmagi)
06   Hair colour
16   Quillons or Crossguard
20   Grip (usually not visible as it's in the characters hand)
21   Blade or major portion of weapon
32   Shield hub
34   Shield panelling
37   Shield rim
48   Helm ornamentation - i.e. wings
49   Helm ornamentation - i.e. feathers/horsehair
50   Helm ornamentation - i.e. feathers/horsehair
52   Unknown but listed in helm01
53   Helm - the main covering
255  Whole Body"
10,1,"Stat: Constitution Modifier [10]","Statistic Modifier","Type","Applies the modifier value specified by the 'Statistic Modifier' field in the style specified by the 'Type' field.

Known values for 'Type' are:
0   Cumulative Modifier -> Constitution = Constitution + 'Statistic Modifier' value
1   Flat Value Modifier -> Constitution = 'Statistic Modifier' value
2   Percentage Modifier -> Constitution = (Constitution * 'Statistic Modifier' value) / 100

'Statistic Modifier' can be positive or negative.

With a Timing Modes of Permanent or Delayed, if 'Type' is 0 and 'Statistic Modifier' is positive, the statistic will alter and remain shown in white text, and a message 'Constitution raised permanently' will be shown.
With a Timing Modes of Permanent or Delayed, if 'Type' is 1 or 2, or 'Statistic Modifier' is negative, the statistic will alter and remain shown in white text, though no message is shown.
With all other Timing Modes, the statistic will alter and be shown in red text."
11,1,"Cure: Poison [11]","Irrelevant","Irrelevant","Removes the poison effect from the targeted creature(s).
This effect ignores durations attributed to it."
12,1,"HP: Damage [12]","Damage Amount","Type","Damages the target by the value specified by the 'Damage Amount' field, with the damage type specified by the 'Type' field.

Known values for 'Type' are:
0           Crushing
1           Crushing Set to Value
2           Crushing Set to Percentage 
65536       Acid
65537       Acid Set to Value
65538       Acid Set to Percentage
131072      Cold
131073      Cold Set to Value
131074      Cold Set to Percentage
262144      Electricity
262145      Electricity Set to Value
262146      Electricity Set to Percentage
524288      Fire
524289      Fire Set to Value
524290      Fire Set to Percentage
1048576     Piercing
1048577     Piercing Set to Value
1048578     Piercing Set to Percentage
2097152     Poison
2097153     Poison Set to Value
2097154     Poison Set to Percentage
4194304     Magic
4194305     Magic Set to Value
4194306     Magic Set to Percentage
8388608     Missile
8388609     Missile Set to Value
8388610     Missile Set to Percentage
16777216    Slashing
16777217    Slashing Set to Value
16777218    Slashing Set to Percentage
33554432    Magic Fire
33554433    Magic Fire Set to Value
33554434    Magic Fire Set to Percentage
67108864    Magic Cold
67108865    Magic Cold Set to Value
67108866    Magic Cold Set to Value
134217728   Stunning
134217729   Stunning Set to Value
134217730   Stunning Set to Percentage
268435456   Soul Eater
268435457   Soul Eater Set to Value
268435458   Soul Eater Set to Percentage
1073741824  Disease
1073741825  Disease Set to Value
1073741825  Disease Set to Percentage

The Dice values can be used to inflict varying damage amounts - e.g. 2d6 would do 2-12 damage (Damage type is still specified by the 'Type' value).

NB. 'Stunning' damage does not stun the target. Stunning damage cannot kill a creature, creatures are reduced to 1 HP and are knocked unconscious.
NB. Using 'Magic Fire' as a damage type will result the game to crash if the damage kills the target.
NB. If 'Damage Amount' and the Dice values are both non-zero, the total damage inflicted is: 'Damage Amount' + Dice value.
NB. 'Damage Amount' can be positive or negative (though the damage sound will play in either case)."
13,1,"Death: Instant Death [13]","Text Notification","Death Type","Instantly kills the targeted creature(s), in the style specified by the 'Death Type' value.

Known values for 'Text Notification' are:
0   Show death message
1   Don't show death message

Known values for 'Death Type' are:
0   Acid death
1   Burning death
2   Crushed death
4   Normal death
8   Chunked death
16  Stoned death
32  Freezing death
64  Exploding stoned death
128 Exploding freezing death
256 Electrified death 
512 Disintegration death
1024 Destruction"
14,2,"Graphics: Defrost [14]","Undefined","Undefined","Temporarily removes the colouring indicating frozen_death from the targeted creature(s), but does not remove the frozen_death state itself."
15,1,"Stat: Dexterity Modifier [15]","Statistic Modifier","Type","Applies the modifier value specified by the 'Statistic Modifier' field in the style specified by the 'Type' field.

Known values for 'Type' are:
0   Cumulative Modifier -> Dexterity = Dexterity + 'Statistic Modifier' value
1   Flat Value Modifier -> Dexterity = 'Statistic Modifier' value
2   Percentage Modifier -> Dexterity = (Dexterity * 'Statistic Modifier' value) / 100
3   Cats Grace Spell ('Statistic Modifier' must be 0)

'Statistic Modifier' can be positive or negative.

With a Timing Modes of Permanent or Delayed, if 'Type' is 0 and 'Statistic Modifier' is positive, the statistic will alter and remain shown in white text, and a message 'Dexterity raised permanently' will be shown.
With a Timing Modes of Permanent or Delayed, if 'Type' is 1 or 2, or 'Statistic Modifier' is negative, the statistic will alter and remain shown in white text, though no message is shown.
With all other Timing Modes, the statistic will alter and be shown in red text."
16,1,"Haste (state)","Irrelevant","Irrelevant","Applies the Haste effect, to the targeted creature(s).
This effect will cancel out the slow opcode."
17,1,"HP: Current HP Modifier [17]","Statistic Modifier","Type","Applies the modifier value specified by the 'Statistic Modifier' field in the style specified by the 'Type' field.

Known values for 'Type' are:
0   Cumulative Modifier -> HP = HP + 'Statistic Modifier' value
1   Flat Value Modifier -> HP = 'Statistic Modifier' value
2   Percentage Modifier -> HP = (HP * 'Statistic Modifier' value) / 100
3   Lay on Hands
4   Wholeness of Body
5   Lathlanders Renewal

NB. If 'Statistic Modifier' and the Dice values are both non-zero, the total HP change is: 'Statistic Modifier' + Dice value.
NB. 'Statistic Modifier' can be positive or negative."
18,1,"HP: Maximum HP Modifier [18]","Statistic Modifier","Type","Applies the modifier value specified by the 'Statistic Modifier' field in the style specified by the 'Type' field.

Known values for 'Type' are:
0   Cumulative Modifier -> HP = HP + 'Statistic Modifier' value
1   Flat Value Modifier -> HP = 'Statistic Modifier' value
2   Percentage Modifier -> HP = (HP * 'Statistic Modifier' value) / 100

3   As 0 (does not affect current HP)
4   As 1 (does not affect current HP)
5   As 2 (does not affect current HP)

NB. If 'Statistic Modifier' and the Dice values are both non-zero, the total HP change is: 'Statistic Modifier' + Dice value.
NB. 'Statistic Modifier' can be positive or negative."
19,1,"Stat: Intelligence Modifier [19]","Statistic Modifier","Type","Applies the modifier value specified by the 'Statistic Modifier' field in the style specified by the 'Type' field.

Known values for 'Type' are:
0   Cumulative Modifier -> Intelligence = Intelligence + 'Statistic Modifier' value
1   Flat Value Modifier -> Intelligence = 'Statistic Modifier' value
2   Percentage Modifier -> Intelligence = (Intelligence * 'Statistic Modifier' value) / 100

'Statistic Modifier' can be positive or negative.

With a Timing Modes of Permanent or Delayed, if 'Type' is 0 and 'Statistic Modifier' is positive, the statistic will alter and remain shown in white text, and a message 'Intelligence raised permanently' will be shown.
With a Timing Modes of Permanent or Delayed, if 'Type' is 1 or 2, or 'Statistic Modifier' is negative, the statistic will alter and remain shown in white text, though no message is shown.
With all other Timing Modes, the statistic will alter and be shown in red text."
21,1,"Stat: Lore Modifier [21]","Statistic Modifier","Type","Applies the modifier value specified by the 'Statistic Modifier' field in the style specified by the 'Type' field.

Known values for 'Type' are:
0   Cumulative Modifier -> Lore = Lore + 'Statistic Modifier' value
1   Flat Value Modifier -> Lore = 'Statistic Modifier' value
2   Master Value        -> Lore = 100

'Statistic Modifier' can be positive or negative.
NB. This effect only works if the Timing Mode is set to 9."
22,1,"Stat: Cumulative Luck Bonus [21]","Bonus","Type","Applies the modifier value specified by the 'Bonus' field in the style specified by the 'Type' field.

Known values for 'Type' are:
0   Cumulative Modifier -> Luck = Luck + 'Bonus' value
1   Lucky Streak
2   Fortunes Favourite  -> Perfect Rolls

'Statistic Modifier' can be positive or negative."
23,1,"Stat: Morale Modifier [23]","Statistic Modifier","Type","Applies the modifier value specified by the 'Statistic Modifier' field in the style specified by the 'Type' field.

Known values for 'Type' are:
0   Cumulative Modifier -> Morale = Morale + 'Statistic Modifier' value
1   Flat Value Modifier -> Morale = 'Statistic Modifier' value
2   Percentage Modifier -> Morale = (Morale * 'Statistic Modifier' value) / 100"
24,1,"State: Horror [24]","Irrelevant","Type","Applies the horror effect to the targeted creature(s), in the style specified by the 'Type' field.

Known values for 'Type' are:
0 Default
1 Harpy Wail"
25,1,"State: Poison [25]","Damage Amount","Type","Damages the target by the 'Damage Amount' value, in the style specified by the 'Type' field.

Known values for 'Type' are:
2   Inflict 'Damage Amount' per second
3   Inflict 1 damge per 'Damage Amount'
4   Inflict 'Damage Amount' per round
6   Snakebite
8   Envonomed Weapon

NB. The 'Damage Amount' parameter should be set a positive value."
26,1,"Item: Remove Curse [26]","Irrelevant","Irrelevant","Removes cursed items from the targeted creature(s)."
27,1,"Stat: Acid Resistance Modifier [27]","Statistic Modifier","Type","Applies the modifier value specified by the 'Statistic Modifier' field in the style specified by the 'Type' field.

Known values for 'Type' are:
0   Cumulative Modifier -> Resistance = Resistance + 'Statistic Modifier' value
1   Flat Value Modifier -> Resistance = 'Statistic Modifier' value

'Statistic Modifier' can be positive or negative."
28,1,"Stat: Cold Resistance Modifier [28]","Statistic Modifier","Type","Applies the modifier value specified by the 'Statistic Modifier' field in the style specified by the 'Type' field.

Known values for 'Type' are:
0   Cumulative Modifier -> Resistance = Resistance + 'Statistic Modifier' value
1   Flat Value Modifier -> Resistance = 'Statistic Modifier' value

'Statistic Modifier' can be positive or negative."
29,1,"Stat: Electricity Resistance Modifier [29]","Statistic Modifier","Type","Applies the modifier value specified by the 'Statistic Modifier' field in the style specified by the 'Type' field.

Known values for 'Type' are:
0   Cumulative Modifier -> Resistance = Resistance + 'Statistic Modifier' value
1   Flat Value Modifier -> Resistance = 'Statistic Modifier' value

'Statistic Modifier' can be positive or negative."
30,1,"Stat: Fire Resistance Modifier [30]","Statistic Modifier","Type","Applies the modifier value specified by the 'Statistic Modifier' field in the style specified by the 'Type' field.

Known values for 'Type' are:
0   Cumulative Modifier -> Resistance = Resistance + 'Statistic Modifier' value
1   Flat Value Modifier -> Resistance = 'Statistic Modifier' value

'Statistic Modifier' can be positive or negative."
31,1,"Stat: Magic Damage Resistance Modifier [31]","Statistic Modifier","Type","Applies the modifier value specified by the 'Statistic Modifier' field in the style specified by the 'Type' field.

Known values for 'Type' are:
0   Cumulative Modifier -> Resistance = Resistance + 'Statistic Modifier' value
1   Flat Value Modifier -> Resistance = 'Statistic Modifier' value
2   Percentage Modifier -> Resistance = (Resistance * 'Statistic Modifier' value) / 100

'Statistic Modifier' can be positive or negative."
32,1,"Cure: Death (Raise Dead) [32]","Irrelevant","Type","Raises the targeted creature(s) from the dead.
This effect ignores durations attributed to it.

Known values for 'Type' are:
0   Standard resurrection
43  Resurrection and un-petrification"
33,1,"Stat: Save vs. Fortitude Modifier [33]","Statistic Modifier","Type","Applies the modifier value specified by the 'Statistic Modifier' field in the style specified by the 'Type' field.

Known values for 'Type' are:
0   Cumulative Modifier -> Save = Save + 'Statistic Modifier' value
1   Flat Value Modifier -> Save = 'Statistic Modifier' value

'Statistic Modifier' can be positive or negative."
34,1,"Stat: Save vs. Reflex Modifier [34]","Statistic Modifier","Type","Applies the modifier value specified by the 'Statistic Modifier' field in the style specified by the 'Type' field.

Known values for 'Type' are:
0   Cumulative Modifier -> Save = Save + 'Statistic Modifier' value
1   Flat Value Modifier -> Save = 'Statistic Modifier' value
2   Percentage Modifier -> Save = (Save * 'Statistic Modifier' value) / 100

'Statistic Modifier' can be positive or negative."
35,1,"Stat: Save vs. Will Modifier [35]","Statistic Modifier","Type","Applies the modifier value specified by the 'Statistic Modifier' field in the style specified by the 'Type' field.

Known values for 'Type' are:
0   Cumulative Modifier -> Save = Save + 'Statistic Modifier' value
1   Flat Value Modifier -> Save = 'Statistic Modifier' value
2   Percentage Modifier -> Save = (Save * 'Statistic Modifier' value) / 100

'Statistic Modifier' can be positive or negative."
38,1,"State: Silence [38]","Irrelevant","Irrelevant","Applies the silence effect to the targeted creature(s)."
39,1,"State: Unconsciousness [39]","Irrelevant","Type","Applies the unconsciousness effect to the targeted creature(s), in the style specified by the 'Type' field.

Known values for 'Type' are:
0   Awaken on Damage
1   Don't Awaken on Damage"
40,1,"State: Slow [40]","Irrelevant","Irrelevant","Applies the slow effect to the targeted creature(s).
This effect will cancel out the haste opcode."
41,2,"Sparkle","Sparkle Color","Sparkle Type","The Sparkle Type parameter sets the type of Sparkle effect of the color set by the Sparkle Color parameter. Known values for the Sparkle Type parameter are: 1 for explosion, 2 for swirl, and 3 for shower."
42,1,"Spell: Wizard Spell Slots Modifier [42]","Slot Amount Modifier","Spell Level","Alters the number of wizard spell slots available to the targeted creature(s), as specified by the 'Slot Amount Modifier' field, at the level specified by the 'Spell Level' field.

Known values for 'Spell Level' are:
0   Double spells
1   Level 1
..  ..
9   Level 9

For a 'Spell Level' of 0, the amount if spell slots is doubled for the level specified by the 'Slot Amount Modifier' value, and all levels below:
1   Level 1
2   Level 2
4   Level 3
8   Level 4
16  Level 5
32  Level 6
64  Level 7
128 Level 8
256 Level 9

'Statistic Modifier' can be positive or negative."
43,1,"Stone to Flesh","Irrelevant","Irrelevant","Leave both parameters at all zeros for this Effect to work."
44,1,"Stat: Strength Modifier [44]","Statistic Modifier","Type","Applies the modifier value specified by the 'Statistic Modifier' field in the style specified by the 'Type' field.

Known values for 'Type' are:
0   Cumulative Modifier -> Strength = Strength + 'Statistic Modifier' value
1   Flat Value Modifier -> Strength = 'Statistic Modifier' value
2   Percentage Modifier -> Strength = (Strength * 'Statistic Modifier' value) / 100
3   Strength Spell ('Statistic Modifier' must be 0)

'Statistic Modifier' can be positive or negative.

With a Timing Modes of Permanent or Delayed, if 'Type' is 0 and 'Statistic Modifier' is positive, the statistic will alter and remain shown in white text, and a message 'Strength raised permanently' will be shown.
With a Timing Modes of Permanent or Delayed, if 'Type' is 1 or 2, or 'Statistic Modifier' is negative, the statistic will alter and remain shown in white text, though no message is shown.
With all other Timing Modes, the statistic will alter and be shown in red text."
45,1,"State: Stun [45]","Irrelevant","Type","Stuns the targeted creature(s), in the style specified by the 'Type' field.

Know values for 'Type' are:
0   Default
1   Unstun on Damage
2   Power Word Stun"
46,1,"Cure: Stun (Unstun) [46]","Irrelevant","Irrelevant","Unstuns the targeted creature(s) (opcode #45).
This effect ignores durations attributed to it."
47,2,"Cure: Invisibility [47]","Undefined","Undefined","Removes the invisibility effect from the targeted creature(s).
Both parameters should be 0 (zero)."
48,1,"Cure: Silence (Vocalize) [48]","Irrelevant","Irrelevant","Removes the silence effect and the silenced state from the targeted creature(s).
This effect ignores durations attributed to it."
49,1,"Stat: Wisdom Modifier [49]","Statistic Modifier","Type","Applies the modifier value specified by the 'Statistic Modifier' field in the style specified by the 'Type' field.

Known values for 'Type' are:
0   Cumulative Modifier -> Wisdom = Wisdom + 'Statistic Modifier' value
1   Flat Value Modifier -> Wisdom = 'Statistic Modifier' value
2   Percentage Modifier -> Wisdom = (Wisdom * 'Statistic Modifier' value) / 100

'Statistic Modifier' can be positive or negative.

With a Timing Modes of Permanent or Delayed, if 'Type' is 0 and 'Statistic Modifier' is positive, the statistic will alter and remain shown in white text, and a message 'Wisdom raised permanently' will be shown.
With a Timing Modes of Permanent or Delayed, if 'Type' is 1 or 2, or 'Statistic Modifier' is negative, the statistic will alter and remain shown in white text, though no message is shown.
With all other Timing Modes, the statistic will alter and be shown in red text."
50,3,"Single Color Pulse All","RGB Color","Irrelevant","Set the RGB Color parameter to the color value you want to use with the second byte being the Red portion (0-255), the third byte the Green portion (0-255), and the fourth byte being the Blue portion (0-255)."
51,3,"Color Tint solid","RGB Color","Location","Set the RGB Color parameter to the color value you want to use with the second byte being the Red portion (0-255), the third byte the Green portion (0-255), and the fourth byte being the Blue portion (0-255) and the part specified by the Location parameter will be that color. The known values of the Location part of the Location and Speed parameter: 00 is Body metal, 01 is Body User 2, 02 is Body User 1, 03 is Body Skin, 04 is Body Leather, 05 is Body Armor, 06 is Body Hair, 16 is Weapon Metal, 18 is Weapon User 1, 19 is Weapon User 2, 20 is Weapon Leather, 21 is Weapon Armor, 32 is Shield Metal, 33 is Shield User 2, 34 is Shield User 1, 36 is Shield Leather, 37 is Shield Armor, 48 is Helmet Metal, 49 is Helmet User 2, 50 is Helmet User 1, 52 is Helmet Leather, 53 is Helmet Armor, 255 is Whole Body."
52,3,"Color Light Solid","RGB Color","Location","Set the RGB Color parameter to the color value you want to use with the second byte being the Red portion (0-255), the third byte the Green portion (0-255), and the fourth byte being the Blue portion (0-255) and the part specified by the Location parameter will be that color. The known values of the Location part of the Location and Speed parameter: 00 is Body metal, 01 is Body User 2, 02 is Body User 1, 03 is Body Skin, 04 is Body Leather, 05 is Body Armor, 06 is Body Hair, 16 is Weapon Metal, 18 is Weapon User 1, 19 is Weapon User 2, 20 is Weapon Leather, 21 is Weapon Armor, 32 is Shield Metal, 33 is Shield User 2, 34 is Shield User 1, 36 is Shield Leather, 37 is Shield Armor, 48 is Helmet Metal, 49 is Helmet User 2, 50 is Helmet User 1, 52 is Helmet Leather, 53 is Helmet Armor, 255 is Whole Body."
53,1,"Animation Change","Irrelevant","Animation Type","This effect will change the animation type as set by the Animation Type parameter."
54,1,"Stat: Base Attack Bonus Modifier [54]","Statistic Modifier","Type","Applies the modifier value specified by the 'Statistic Modifier' field in the style specified by the 'Type' field.

Known values for 'Type' are:
0   Cumulative Modifier -> BAB = BAB + 'Statistic Modifier' value
1   Flat Value Modifier -> BAB = 'Statistic Modifier' value
2   Percentage Modifier -> BAB = (BAB * 'Statistic Modifier' value) / 100"
55,1,"Death: Kill Creature Type [55]","IDS Entry","IDS File","Kills the targeted creature(s) with HD less than those specified by the Dice values, if the target(s) match the IDS mask.

Known values for 'IDS File' are:
2   EnemyAlly.ids
3   General.ids
4   Race.ids
5   Class.ids
6   Specific.ids
7   Gender.ids
8   Align.ids

'IDS Entry' is a value from the specified IDS file, indicating the specific creature type to affect."
56,1,"Alignment: Invert [56]","Irrelevant","Irrelevant","Inverts the alignment of the targeted creature(s).
Both parameters should be 0 (zero)."
57,1,"Alignment: Change [57]","Irrelevant","Alignment","Alters the alignment of the targeted creature(s) to the value specified by 'Alignment'.

Known values for 'Alignment' are:
00   None
17   Lawful Good
18   Lawful Neutral
19   Lawful Evil
33   Neutral Good
34   True Neutral
35   Neutral Evil
49   Chaotic Good
50   Chaotic Neutral
51   Chaotic Evil"
