0,1,"Stat: AC vs. Damage Type Modifier [0]","AC Modifier","Type","Applies the modifier value specified by the 'AC Modifier' field to the category specified by the 'Type' field.

Known values for 'Type' are:
0   All
1   Crushing
2   Missile
4   Piercing 
8   Slashing
16  Base AC setting (sets the targets AC to the value specified by the 'AC Modifier' field -1. If the targets AC is already 'AC Modifier' or below, this effect will do nothing)."
1,2,"Stat: Attacks Per Round Modifier [1]","Key Modifier","Type","Alters a characters Attacks per Round, by changing the Key by the modifier value specified by the 'Key Value' field, in the style specified by 'Type' field.

Key     Attacks Per Round
0        0
1        1
2        2
3        3
4        4
5+      5

Known values for 'Type' are:
0   Cumulative Modifier -> Key = Key + 'Key Modifier' value
1   Flat Value Modifier -> Key = 'Key Modifier' value
2   Percentage Modifier -> Key = (Key * 'Key Modifier' value) / 100

Note: When this opcode is stacked, the values of the Key Modifier are stacked, not the number of attacks."
2,2,"Cure: Sleep [2]","Irrelevant","Irrelevant","Removes the state_sleeping flag from the targeted creature(s).
This effect ignores durations attributed to it.

N.B. Does not remove the state_helpless flag."
3,1,"State: Berserking [3]","Irrelevant","Type","Applies the berserk effect to the targeted creature(s), as specifed by the 'Type' field.
Target will uncontrollably attack enemies if any are in view, and will occasionally attack neutral creatures.

Known values for 'Type' are:
0   Default
1   Always Active
2   Blood Rage"
4,2,"Cure: Berserking [4]","Irrelevant","Irrelevant","Removes the state_beserk flag from the targeted creature(s).
This effect ignores durations attributed to it."
5,4,"Charm: Charm Specific Creature [5]","General Type","Charm Type","Charms the targeted creature(s) according to value in the 'Charm Type' field, if the target is matched by the value in the 'General Type' field. Values for 'General Type' are from General.ids.

Known values for 'Charm Type' are:
0    Charmed (Target neutral after effect ends)
1    Charmed (Target hostile after effect ends)
2    Dire charmed (Target neutral after effect ends)
3    Dire charmed (Target hostile after effect ends)
4    Controlled by Cleric
5    Target is hostile"
6,1,"Stat: Charisma Modifier [6]","Statistic Modifier","Type","Applies the modifier value specified by the 'Statistic Modifier' field in the style specified by the 'Type' field.

Known values for 'Type' are:
0   Cumulative Modifier -> Charisma = Charisma + 'Statistic Modifier' value
1   Flat Value Modifier -> Charisma = 'Statistic Modifier' value
2   Percentage Modifier -> Charisma = (Charisma * 'Statistic Modifier' value) / 100


Negative values for 'Statistic Modifier' act as follows for the 'Type' modes:
0   Charisma = Charisma - 'Statistic Modifier' value
1   Charisma = 25
2   Charisma = 25"
7,1,"colour: Set character colours by Palette [7]","Gradient Number","Location","Alters the colour of the area specified by the 'Location' field, to the colour gradient specified by the 'Gradient Number' field.

Known values for 'Location' are:
0   Body Metal
1   Body User 2
2   Body User 1
3   Body Skin
4   Body Leather
5   Body Armor
6   Body Hair
16  Weapon Metal
18  Weapon User 1
19  Weapon User 2
20  Weapon Leather
21  Weapon Armor
32  Shield Metal
33  Shield User 2
34  Shield User 1
36  Shield Leather
37  Shield Armor
48  Helmet Metal
49  Helmet User 2
50  Helmet User 1
52  Helmet Leather
53  Helmet Armor
255 Whole Body"
8,3,"colour: Change by RGB [8]","RGB Colour","Location","Alters the colour of the area specified by the 'Location' field, to the colour specified by the 'RGB Colour' field.

The 'RGB Colour' field is handled as follows:
Second byte = Red (0-255)
Third byte     = Green (0-255)
Fourth byte   = Blue (0-255)

Known values for 'Location' are:
0   Body metal
1   Body User 2
2   Body User 1
3   Body Skin
4   Body Leather
5   Body Armor
6   Body Hair
16  Weapon Metal
18  Weapon User 1
19  Weapon User 2
20  Weapon Leather
21  Weapon Armor
32  Shield Metal
33  Shield User 2
34  Shield User 1
36  Shield Leather
37  Shield Armor
48  Helmet Metal
49  Helmet User 2
50  Helmet User 1
52  Helmet Leather
53  Helmet Armor
255 Whole Body"
9,2,"colour: Glow Pulse [9]","RGB Colour","Location and Speed","Pulses the area specified by the 'Location and Speed' field, at the rate specified by the 'Location and Speed' field, with the colour specified by the 'RGB Colour' field.

The 'RGB Colour' field is handled as follows:
Second byte = Red (0-255)
Third byte     = Green (0-255)
Fourth byte   = Blue (0-255)

The 'Location and Speed' field is handled as follows:
First byte = Location
Third byte = Speed

A speed of 0 does not pulsate. A speed of 1 is fastest, and a speed of 255 is slowest.

Known values for 'Location' are:
0   Body metal
1   Body User 2
2   Body User 1
3   Body Skin
4   Body Leather
5   Body Armor
6   Body Hair
16  Weapon Metal
18  Weapon User 1
19  Weapon User 2
20  Weapon Leather
21  Weapon Armor
32  Shield Metal
33  Shield User 2
34  Shield User 1
36  Shield Leather
37  Shield Armor
48  Helmet Metal
49  Helmet User 2
50  Helmet User 1
52  Helmet Leather
53  Helmet Armor
255 Whole Body"
